sku,name,brand,category,retail_price,nsa_cost,available_sizes,vendor_name,catalog
ADFB0100TM,Adidas Adizero Electric Jersey - Men's,Adidas,Jersey Tops,200.00,75.00,S-5XL,Adidas,Football FW26
ADFB0101BM,Adidas Adizero Electric Pant - Men's,Adidas,Jersey Bottoms,175.00,65.63,S-5XL,Adidas,Football FW26
ADFB0102TM,Adidas Adizero Impact V1 Jersey - Men's,Adidas,Jersey Tops,160.00,60.00,S-5XL,Adidas,Football FW26
ADFB0103BM,Adidas Adizero Impact V1 Pant - Men's,Adidas,Jersey Bottoms,140.00,52.50,S-5XL,Adidas,Football FW26
ADFB0104TM,Adidas Adizero Impact V2 Jersey - Men's,Adidas,Jersey Tops,140.00,52.50,S-5XL,Adidas,Football FW26
ADFB0105BM,Adidas Adizero Impact V2 Pant - Men's,Adidas,Jersey Bottoms,100.00,37.50,S-5XL,Adidas,Football FW26
AD0858M,Adidas Shocklite Filthyquick Jersey - Men's,Adidas,Jersey Tops,195.00,73.13,,Adidas,Football FW26
AD0858Y,Adidas Shocklite Filthyquick Jersey - Youth,Adidas,Jersey Tops,195.00,73.13,,Adidas,Football FW26
AD0849M,Adidas Shocklite Filthyquick Pant - Men's,Adidas,Jersey Bottoms,175.00,65.63,,Adidas,Football FW26
AD0849Y,Adidas Shocklite Filthyquick Pant - Youth,Adidas,Jersey Bottoms,175.00,65.63,,Adidas,Football FW26
ADFB0869TM,Adidas Custom Practice Jersey - Men's,Adidas,Jersey Tops,120.00,45.00,,Adidas,Football FW26
AD0881M,Adidas Adizero 7v7 Jersey - Men's,Adidas,Jersey Tops,90.00,33.75,,Adidas,Football FW26
AD0882M,Adidas Adizero 7v7 Pant - Men's,Adidas,Jersey Bottoms,50.00,18.75,,Adidas,Football FW26
AD03049M,Adidas Wide Band - Men's,Adidas,Hats,35.00,13.13,,Adidas,Accessories
AD03020M,Adidas Skull Cap - Men's,Adidas,Hats,35.00,13.13,,Adidas,Accessories
AD03021W,Adidas Tie Band - Women's,Adidas,Hats,35.00,13.13,,Adidas,Accessories
AD03021M,Adidas Arm Sleeve - Men's,Adidas,Hats,30.00,11.25,,Adidas,Accessories
