sku,name,brand,color,category,retail_price,nsa_cost,available_sizes,vendor_name
A313-001,Adidas Backpack - Black,Adidas,Black,Bags,50.00,25.00,ONE SIZE,Adidas
A313-006,Adidas Backpack - Dark Grey Heather,Adidas,Dark Grey Heather,Bags,50.00,25.00,ONE SIZE,Adidas
A313-002,Adidas Backpack - Navy,Adidas,Navy,Bags,50.00,25.00,ONE SIZE,Adidas
A313-003,Adidas Backpack - Team Royal Blue,Adidas,Team Royal Blue,Bags,50.00,25.00,ONE SIZE,Adidas
A313-007,Adidas Backpack - White,Adidas,White,Bags,50.00,25.00,ONE SIZE,Adidas
A315-001,Adidas Drawstring Bag - Black,Adidas,Black,Bags,20.00,10.00,ONE SIZE,Adidas
A315-004,Adidas Drawstring Bag - Onix/Grey,Adidas,Onix/Grey,Bags,20.00,10.00,ONE SIZE,Adidas
A315-005,Adidas Drawstring Bag - Team Collegiate Red,Adidas,Team Collegiate Red,Bags,20.00,10.00,ONE SIZE,Adidas
A315-003,Adidas Drawstring Bag - Team Royal Blue,Adidas,Team Royal Blue,Bags,20.00,10.00,ONE SIZE,Adidas
A314-002,Adidas Sling Bag - Navy,Adidas,Navy,Bags,35.00,17.50,ONE SIZE,Adidas
A314-004,Adidas Sling Bag - Onix/Grey,Adidas,Onix/Grey,Bags,35.00,17.50,ONE SIZE,Adidas
A314-005,Adidas Sling Bag - Team Collegiate Red,Adidas,Team Collegiate Red,Bags,35.00,17.50,ONE SIZE,Adidas
A314-007,Adidas Sling Bag - White,Adidas,White,Bags,35.00,17.50,ONE SIZE,Adidas
A316-001,Adidas Stadium Team Duffel - Black,Adidas,Black,Bags,65.00,32.50,ONE SIZE,Adidas
A316-006,Adidas Stadium Team Duffel - Dark Grey Heather,Adidas,Dark Grey Heather,Bags,65.00,32.50,ONE SIZE,Adidas
A316-004,Adidas Stadium Team Duffel - Onix/Grey,Adidas,Onix/Grey,Bags,65.00,32.50,ONE SIZE,Adidas
A316-007,Adidas Stadium Team Duffel - White,Adidas,White,Bags,65.00,32.50,ONE SIZE,Adidas
A312-001,Adidas Tote Bag - Black,Adidas,Black,Bags,40.00,20.00,ONE SIZE,Adidas
A312-006,Adidas Tote Bag - Dark Grey Heather,Adidas,Dark Grey Heather,Bags,40.00,20.00,ONE SIZE,Adidas
A312-004,Adidas Tote Bag - Onix/Grey,Adidas,Onix/Grey,Bags,40.00,20.00,ONE SIZE,Adidas
A312-005,Adidas Tote Bag - Team Collegiate Red,Adidas,Team Collegiate Red,Bags,40.00,20.00,ONE SIZE,Adidas
A312-003,Adidas Tote Bag - Team Royal Blue,Adidas,Team Royal Blue,Bags,40.00,20.00,ONE SIZE,Adidas
A312-007,Adidas Tote Bag - White,Adidas,White,Bags,40.00,20.00,ONE SIZE,Adidas
A311-001,Adidas Travel Duffel Bag - Black,Adidas,Black,Bags,55.00,27.50,ONE SIZE,Adidas
A311-002,Adidas Travel Duffel Bag - Navy,Adidas,Navy,Bags,55.00,27.50,ONE SIZE,Adidas
A311-004,Adidas Travel Duffel Bag - Onix/Grey,Adidas,Onix/Grey,Bags,55.00,27.50,ONE SIZE,Adidas
A311-003,Adidas Travel Duffel Bag - Team Royal Blue,Adidas,Team Royal Blue,Bags,55.00,27.50,ONE SIZE,Adidas
A311-007,Adidas Travel Duffel Bag - White,Adidas,White,Bags,55.00,27.50,ONE SIZE,Adidas
A12-001,Adidas Core Performance Relaxed Cap - Black,Adidas,Black,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-016,Adidas Core Performance Relaxed Cap - Collegiate Burgundy,Adidas,Collegiate Burgundy,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-010,Adidas Core Performance Relaxed Cap - Onix/Grey,Adidas,Onix/Grey,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-011,Adidas Core Performance Relaxed Cap - Team Collegiate Purple,Adidas,Team Collegiate Purple,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-005,Adidas Core Performance Relaxed Cap - Team Collegiate Red,Adidas,Team Collegiate Red,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-006,Adidas Core Performance Relaxed Cap - Team Dark Green,Adidas,Team Dark Green,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-019,Adidas Core Performance Relaxed Cap - Team Kelly Green,Adidas,Team Kelly Green,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-009,Adidas Core Performance Relaxed Cap - Team Light Grey,Adidas,Team Light Grey,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-007,Adidas Core Performance Relaxed Cap - Team Maroon,Adidas,Team Maroon,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-012,Adidas Core Performance Relaxed Cap - Team Orange,Adidas,Team Orange,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-004,Adidas Core Performance Relaxed Cap - Team Royal Blue,Adidas,Team Royal Blue,Headwear,22.00,11.00,ONE SIZE,Adidas
A12-002,Adidas Core Performance Relaxed Cap - White,Adidas,White,Headwear,22.00,11.00,ONE SIZE,Adidas
A612-001,Adidas Crestable Performance Cap - Black,Adidas,Black,Headwear,28.00,14.00,ONE SIZE,Adidas
A612-003,Adidas Crestable Performance Cap - Navy,Adidas,Navy,Headwear,28.00,14.00,ONE SIZE,Adidas
