sku,name,brand,color,category,retail_price,nsa_cost,available_sizes,vendor_name
5159759,Adidas Three-Stripe Spinner Carry-On Wheel Bag,Adidas,Black,Bags,365.00,136.88,OSFA,Agron
5159465,Adidas Team Wheel Bag,Adidas,Black,Bags,240.00,90.00,OSFA,Agron
5160021,Adidas Duel 21-Inch Wheel Bag,Adidas,Black,Bags,195.00,73.13,OSFA,Agron
5159456,Adidas Team XL II Wheel Bag,Adidas,Black,Bags,150.00,56.25,OSFA,Agron
5159403,Adidas Locker Room Baseball Duffel,Adidas,Onix Grey/Black,Bags,130.00,48.75,OSFA,Agron
5159420,Adidas Locker Room Baseball Duffel,Adidas,Black,Bags,130.00,48.75,OSFA,Agron
5159523,Adidas Team Carry XL Duffel,Adidas,Black,Bags,130.00,48.75,OSFA,Agron
5159520,Adidas Utility XL Team Backpack,Adidas,Team Onix Grey,Bags,105.00,39.38,OSFA,Agron
5160158,Adidas Select Backpack,Adidas,Black,Bags,95.00,35.63,OSFA,Agron
5161390,Adidas Select Backpack,Adidas,Team Power Red 2/Black,Bags,95.00,35.63,OSFA,Agron
5161889,Adidas Select Backpack,Adidas,White/Black/Gold Metallic,Bags,95.00,35.63,OSFA,Agron
5157751,Adidas 5-Star Team 2 Backpack,Adidas,Jersey Onix Grey,Bags,80.00,30.00,OSFA,Agron
5157755,Adidas 5-Star Team 2 Backpack,Adidas,Team Royal Blue,Bags,80.00,30.00,OSFA,Agron
5157762,Adidas 5-Star Team 2 Backpack,Adidas,Team Navy Blue 2,Bags,80.00,30.00,OSFA,Agron
5157781,Adidas 5-Star Team 2 Backpack,Adidas,Team Dark Green,Bags,80.00,30.00,OSFA,Agron
5157787,Adidas 5-Star Team 2 Backpack,Adidas,Black,Bags,80.00,30.00,OSFA,Agron
5157793,Adidas 5-Star Team 2 Backpack,Adidas,White,Bags,80.00,30.00,OSFA,Agron
5157796,Adidas 5-Star Team 2 Backpack,Adidas,Team Collegiate Burgundy,Bags,80.00,30.00,OSFA,Agron
5157801,Adidas 5-Star Team 2 Backpack,Adidas,Team Collegiate Purple,Bags,80.00,30.00,OSFA,Agron
5157814,Adidas 5-Star Team 2 Backpack,Adidas,Team Power Red 2,Bags,80.00,30.00,OSFA,Agron
5159513,Adidas Stadium Messenger,Adidas,Black,Bags,75.00,28.13,OSFA,Agron
5159368,Adidas Stadium 4 Backpack,Adidas,Team Dark Green,Bags,65.00,24.38,OSFA,Agron
5159379,Adidas Stadium 4 Backpack,Adidas,Team Shock Pink 2,Bags,65.00,24.38,OSFA,Agron
5159389,Adidas Stadium 4 Backpack,Adidas,Team Light Blue,Bags,65.00,24.38,OSFA,Agron
5159406,Adidas Stadium 4 Backpack,Adidas,Team Navy Blue 2,Bags,65.00,24.38,OSFA,Agron
5159407,Adidas Stadium 4 Backpack,Adidas,Team Power Red 2/White,Bags,65.00,24.38,OSFA,Agron
5159440,Adidas Stadium 4 Backpack,Adidas,Team Royal Blue,Bags,65.00,24.38,OSFA,Agron
5159481,Adidas Stadium 4 Backpack,Adidas,Team Dark Grey,Bags,65.00,24.38,OSFA,Agron
5159492,Adidas Stadium 4 Backpack,Adidas,Team Light Grey,Bags,65.00,24.38,OSFA,Agron
5159498,Adidas Stadium 4 Backpack,Adidas,Team Orange,Bags,65.00,24.38,OSFA,Agron
5159512,Adidas Stadium 4 Backpack,Adidas,Black,Bags,65.00,24.38,OSFA,Agron
5159382,Adidas Defender 5 Large Duffel,Adidas,Team Power Red 2/White,Bags,60.00,22.50,OSFA,Agron
5159426,Adidas Defender 5 Large Duffel,Adidas,Team Royal Blue,Bags,60.00,22.50,OSFA,Agron
5159439,Adidas Defender 5 Large Duffel,Adidas,Team Dark Grey,Bags,60.00,22.50,OSFA,Agron
5159457,Adidas Defender 5 Large Duffel,Adidas,Black,Bags,60.00,22.50,OSFA,Agron
5159370,Adidas Team Issue II Medium Duffel,Adidas,Jersey Onix Grey,Bags,60.00,22.50,OSFA,Agron
5159386,Adidas Team Issue II Medium Duffel,Adidas,Team Power Red 2,Bags,60.00,22.50,OSFA,Agron
5159402,Adidas Team Issue II Medium Duffel,Adidas,Team Collegiate Purple,Bags,60.00,22.50,OSFA,Agron
5159419,Adidas Team Issue II Medium Duffel,Adidas,Team Orange,Bags,60.00,22.50,OSFA,Agron
5159441,Adidas Team Issue II Medium Duffel,Adidas,Team Light Blue,Bags,60.00,22.50,OSFA,Agron
5159448,Adidas Team Issue II Medium Duffel,Adidas,Team Navy Blue 2,Bags,60.00,22.50,OSFA,Agron
5159458,Adidas Team Issue II Medium Duffel,Adidas,Team Dark Green,Bags,60.00,22.50,OSFA,Agron
5159469,Adidas Team Issue II Medium Duffel,Adidas,Team Maroon,Bags,60.00,22.50,OSFA,Agron
5159476,Adidas Team Issue II Medium Duffel,Adidas,White,Bags,60.00,22.50,OSFA,Agron
5159479,Adidas Team Issue II Medium Duffel,Adidas,Team Onix Grey,Bags,60.00,22.50,OSFA,Agron
5159487,Adidas Team Issue II Medium Duffel,Adidas,Team Royal Blue,Bags,60.00,22.50,OSFA,Agron
5159501,Adidas Team Issue II Medium Duffel,Adidas,Black,Bags,60.00,22.50,OSFA,Agron
5159515,Adidas Team Issue II Medium Duffel,Adidas,Team Shock Pink 2,Bags,60.00,22.50,OSFA,Agron
5159373,Adidas Defender 5 Backpack,Adidas,Team Power Red 2/White,Bags,58.00,21.75,OSFA,Agron
5159374,Adidas Defender 5 Backpack,Adidas,Twill Onix Grey/Black,Bags,58.00,21.75,OSFA,Agron
5159381,Adidas Defender 5 Backpack,Adidas,Team Dark Grey,Bags,58.00,21.75,OSFA,Agron
5159394,Adidas Defender 5 Backpack,Adidas,Black/Black,Bags,58.00,21.75,OSFA,Agron
5159409,Adidas Defender 5 Backpack,Adidas,Black,Bags,58.00,21.75,OSFA,Agron
5159496,Adidas Defender 5 Backpack,Adidas,Team Navy Blue 2,Bags,58.00,21.75,OSFA,Agron
5159507,Adidas Defender 5 Backpack,Adidas,Team Royal Blue,Bags,58.00,21.75,OSFA,Agron
5159508,Adidas Defender 5 Backpack,Adidas,White/Gold Metallic/Black,Bags,58.00,21.75,OSFA,Agron
5160175,Adidas 30 Can Tote Cooler Bag,Adidas,Black,Bags,55.00,20.63,OSFA,Agron
5160710,Adidas 30 Can Tote Cooler Bag,Adidas,Collegiate Navy/Black,Bags,55.00,20.63,OSFA,Agron
5160712,Adidas 30 Can Tote Cooler Bag,Adidas,Silver Pebble Grey/Black,Bags,55.00,20.63,OSFA,Agron
5160715,Adidas 30 Can Tote Cooler Bag,Adidas,Grey Four/Black,Bags,55.00,20.63,OSFA,Agron
5159490,Adidas Stadium Ball Bag,Adidas,Black/White,Bags,55.00,20.63,OSFA,Agron
5160159,Adidas 24 Can Cooler Bag,Adidas,Black,Bags,52.00,19.50,OSFA,Agron
5160707,Adidas 24 Can Cooler Bag,Adidas,Silver Pebble Grey/Black,Bags,52.00,19.50,OSFA,Agron
5160711,Adidas 24 Can Cooler Bag,Adidas,Grey Four/Black,Bags,52.00,19.50,OSFA,Agron
5160713,Adidas 24 Can Cooler Bag,Adidas,Collegiate Navy/Black,Bags,52.00,19.50,OSFA,Agron
5159376,Adidas Defender 5 Medium Duffel,Adidas,Team Power Red 2/White,Bags,50.00,18.75,OSFA,Agron
5159395,Adidas Defender 5 Medium Duffel,Adidas,Team Navy Blue 2,Bags,50.00,18.75,OSFA,Agron
5159410,Adidas Defender 5 Medium Duffel,Adidas,Team Royal Blue,Bags,50.00,18.75,OSFA,Agron
5159430,Adidas Defender 5 Medium Duffel,Adidas,Twill Onix Grey/Black,Bags,50.00,18.75,OSFA,Agron
5159442,Adidas Defender 5 Medium Duffel,Adidas,Team Dark Grey,Bags,50.00,18.75,OSFA,Agron
5159446,Adidas Defender 5 Medium Duffel,Adidas,Team Shock Pink 2,Bags,50.00,18.75,OSFA,Agron
5159459,Adidas Defender 5 Medium Duffel,Adidas,Black,Bags,50.00,18.75,OSFA,Agron
5159460,Adidas Defender 5 Medium Duffel,Adidas,Team Dark Green,Bags,50.00,18.75,OSFA,Agron
5159463,Adidas Defender 5 Medium Duffel,Adidas,Black/Silver Metallic,Bags,50.00,18.75,OSFA,Agron
5160146,Adidas Striker 3 Backpack,Adidas,Team Maroon 2,Bags,48.00,18.00,OSFA,Agron
5160189,Adidas Striker 3 Backpack,Adidas,Team Collegiate Purple,Bags,48.00,18.00,OSFA,Agron
5160193,Adidas Striker 3 Backpack,Adidas,Black,Bags,48.00,18.00,OSFA,Agron
5160194,Adidas Striker 3 Backpack,Adidas,Team Shock Pink 2,Bags,48.00,18.00,OSFA,Agron
5160202,Adidas Striker 3 Backpack,Adidas,Team Navy Blue 2,Bags,48.00,18.00,OSFA,Agron
5160219,Adidas Striker 3 Backpack,Adidas,Team Dark Green,Bags,48.00,18.00,OSFA,Agron
5160245,Adidas Striker 3 Backpack,Adidas,Team Power Red 2,Bags,48.00,18.00,OSFA,Agron
5160287,Adidas Striker 3 Backpack,Adidas,Team Royal Blue,Bags,48.00,18.00,OSFA,Agron
5159391,Adidas Defender 5 Small Duffel,Adidas,Team Dark Green,Bags,45.00,16.88,OSFA,Agron
5159399,Adidas Defender 5 Small Duffel,Adidas,Team Navy Blue 2,Bags,45.00,16.88,OSFA,Agron
5159418,Adidas Defender 5 Small Duffel,Adidas,Twill Onix Grey/Black,Bags,45.00,16.88,OSFA,Agron
5159425,Adidas Defender 5 Small Duffel,Adidas,Team Power Red 2/White,Bags,45.00,16.88,OSFA,Agron
5159428,Adidas Defender 5 Small Duffel,Adidas,Team Royal Blue,Bags,45.00,16.88,OSFA,Agron
5159434,Adidas Defender 5 Small Duffel,Adidas,Team Shock Pink 2,Bags,45.00,16.88,OSFA,Agron
5159445,Adidas Defender 5 Small Duffel,Adidas,Team Dark Grey,Bags,45.00,16.88,OSFA,Agron
5159451,Adidas Defender 5 Small Duffel,Adidas,Black/Silver Metallic,Bags,45.00,16.88,OSFA,Agron
5159462,Adidas Defender 5 Small Duffel,Adidas,Black,Bags,45.00,16.88,OSFA,Agron
5159482,Adidas Defender 5 Small Duffel,Adidas,Black/Gold Metallic,Bags,45.00,16.88,OSFA,Agron
5159491,Adidas Defender 5 Small Duffel,Adidas,Twill White/Black,Bags,45.00,16.88,OSFA,Agron
5159509,Adidas Defender 5 Small Duffel,Adidas,Twill Grey/Rose Gold,Bags,45.00,16.88,OSFA,Agron
5160237,Adidas 12 Can Cooler Bag,Adidas,Black,Bags,42.00,15.75,OSFA,Agron
5160708,Adidas 12 Can Cooler Bag,Adidas,Collegiate Navy/Black,Bags,42.00,15.75,OSFA,Agron
5160709,Adidas 12 Can Cooler Bag,Adidas,Grey Four/Black,Bags,42.00,15.75,OSFA,Agron
5160714,Adidas 12 Can Cooler Bag,Adidas,Silver Pebble Grey/Black,Bags,42.00,15.75,OSFA,Agron
5160259,Adidas Clear Crossbody,Adidas,Clear/Black,Bags,30.00,11.25,OSFA,Agron
5162196,Adidas Clear Crossbody,Adidas,Clear/Bold Blue/Better Scarlet,Bags,30.00,11.25,OSFA,Agron
5159443,Adidas Stadium II Team Glove Bag,Adidas,Black,Bags,28.00,10.50,OSFA,Agron
5159408,Adidas Team Toiletry Kit,Adidas,Black,Bags,28.00,10.50,OSFA,Agron
5159488,Adidas Stadium II Team Shoe Bag,Adidas,Black,Bags,25.00,9.38,OSFA,Agron
5160162,Adidas Alliance 3 Sackpack,Adidas,Twill Onix Grey/Black,Bags,22.00,8.25,OSFA,Agron
5160183,Adidas Alliance 3 Sackpack,Adidas,Team Shock Pink 2/White,Bags,22.00,8.25,OSFA,Agron
5160185,Adidas Alliance 3 Sackpack,Adidas,Black,Bags,22.00,8.25,OSFA,Agron
5160223,Adidas Alliance 3 Sackpack,Adidas,Team Navy Blue 2,Bags,22.00,8.25,OSFA,Agron
5160240,Adidas Alliance 3 Sackpack,Adidas,White/Black,Bags,22.00,8.25,OSFA,Agron
5160250,Adidas Alliance 3 Sackpack,Adidas,Team Royal Blue,Bags,22.00,8.25,OSFA,Agron
5160273,Adidas Alliance 3 Sackpack,Adidas,Team Power Red 2,Bags,22.00,8.25,OSFA,Agron
5160280,Adidas Alliance 3 Sackpack,Adidas,Black/Gold Metallic,Bags,22.00,8.25,OSFA,Agron
5160152,Adidas Stadium Sackpack,Adidas,Team Power Red 2/White,Bags,22.00,8.25,OSFA,Agron
5160174,Adidas Stadium Sackpack,Adidas,Black,Bags,22.00,8.25,OSFA,Agron
5160200,Adidas Stadium Sackpack,Adidas,True Pink/Black,Bags,22.00,8.25,OSFA,Agron
5160241,Adidas Stadium Sackpack,Adidas,Team Light Grey/White,Bags,22.00,8.25,OSFA,Agron
5160265,Adidas Stadium Sackpack,Adidas,Team Navy Blue 2/White,Bags,22.00,8.25,OSFA,Agron
5159516,Adidas Tournament III Sackpack,Adidas,Black/White,Bags,14.00,5.25,OSFA,Agron
5159519,Adidas Tournament III Sackpack,Adidas,Jersey Onix Grey/Black,Bags,14.00,5.25,OSFA,Agron
5161242A,Adidas Unisex Fundamental Victory Bucket,Adidas,Black/White,Hats,36.00,13.50,S/M,Agron
5161242B,Adidas Unisex Fundamental Victory Bucket,Adidas,Black/White,Hats,36.00,13.50,L/XL,Agron
5161243A,Adidas Unisex Fundamental Victory Bucket,Adidas,Team Dark Grey/Black,Hats,36.00,13.50,S/M,Agron
5161243B,Adidas Unisex Fundamental Victory Bucket,Adidas,Team Dark Grey/Black,Hats,36.00,13.50,L/XL,Agron
5161244A,Adidas Unisex Fundamental Victory Bucket,Adidas,White/Black,Hats,36.00,13.50,S/M,Agron
5161244B,Adidas Unisex Fundamental Victory Bucket,Adidas,White/Black,Hats,36.00,13.50,L/XL,Agron
5161245A,Adidas Unisex Fundamental Victory Bucket,Adidas,Team Navy Blue 2/Black,Hats,36.00,13.50,S/M,Agron
5161245B,Adidas Unisex Fundamental Victory Bucket,Adidas,Team Navy Blue 2/Black,Hats,36.00,13.50,L/XL,Agron
5161234A,Adidas Unisex Fundamental Gameday Stretch,Adidas,Black/Team Dark Grey,Hats,30.00,11.25,S/M,Agron
5161234B,Adidas Unisex Fundamental Gameday Stretch,Adidas,Black/Team Dark Grey,Hats,30.00,11.25,L/XL,Agron
5161235A,Adidas Unisex Fundamental Gameday Stretch,Adidas,Team Dark Grey/White,Hats,30.00,11.25,S/M,Agron
5161235B,Adidas Unisex Fundamental Gameday Stretch,Adidas,Team Dark Grey/White,Hats,30.00,11.25,L/XL,Agron
5161236A,Adidas Unisex Fundamental Gameday Stretch,Adidas,White/Black,Hats,30.00,11.25,S/M,Agron
5161236B,Adidas Unisex Fundamental Gameday Stretch,Adidas,White/Black,Hats,30.00,11.25,L/XL,Agron
5161237A,Adidas Unisex Fundamental Gameday Stretch,Adidas,Team Navy Blue 2/Team Dark Grey,Hats,30.00,11.25,S/M,Agron
5161237B,Adidas Unisex Fundamental Gameday Stretch,Adidas,Team Navy Blue 2/Team Dark Grey,Hats,30.00,11.25,L/XL,Agron
5161238,Adidas Unisex Fundamental Structured Snapback,Adidas,Black/White,Hats,30.00,11.25,OSFA,Agron
5161239,Adidas Unisex Fundamental Structured Snapback,Adidas,Team Dark Grey/White,Hats,30.00,11.25,OSFA,Agron
5161240,Adidas Unisex Fundamental Structured Snapback,Adidas,White/Team Dark Grey,Hats,30.00,11.25,OSFA,Agron
5161241,Adidas Unisex Fundamental Structured Snapback,Adidas,Team Navy Blue 2/Black,Hats,30.00,11.25,OSFA,Agron
5161246,Adidas Unisex Fundamental Alliance,Adidas,Team Royal Blue/Black,Hats,28.00,10.50,OSFA,Agron
5161247,Adidas Unisex Fundamental Alliance,Adidas,Team Dark Green/Black,Hats,28.00,10.50,OSFA,Agron
5161248,Adidas Unisex Fundamental Alliance,Adidas,Team Power Red 2/Black,Hats,28.00,10.50,OSFA,Agron
5161249,Adidas Unisex Fundamental Alliance,Adidas,Team Navy Blue 2/White,Hats,28.00,10.50,OSFA,Agron
5161250,Adidas Unisex Fundamental Alliance,Adidas,Team Dark Grey/Black,Hats,28.00,10.50,OSFA,Agron
5161251,Adidas Unisex Fundamental Alliance,Adidas,White/Black,Hats,28.00,10.50,OSFA,Agron
5161252,Adidas Unisex Fundamental Alliance,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5161230,Adidas Unisex Fundamental Dispatch Trucker,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5161231,Adidas Unisex Fundamental Dispatch Trucker,Adidas,Team Dark Grey/Black/White,Hats,28.00,10.50,OSFA,Agron
5161232,Adidas Unisex Fundamental Dispatch Trucker,Adidas,White/Black,Hats,28.00,10.50,OSFA,Agron
5161233,Adidas Unisex Fundamental Dispatch Trucker,Adidas,Team Navy Blue 2/Black/White,Hats,28.00,10.50,OSFA,Agron
5161253,Adidas Unisex Fundamental Washed Relaxed,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5161254,Adidas Unisex Fundamental Washed Relaxed,Adidas,Team Dark Grey/Black,Hats,28.00,10.50,OSFA,Agron
5161255,Adidas Unisex Fundamental Washed Relaxed,Adidas,White/Team Dark Grey,Hats,28.00,10.50,OSFA,Agron
5161256,Adidas Unisex Fundamental Washed Relaxed,Adidas,Team Navy Blue 2/Black,Hats,28.00,10.50,OSFA,Agron
5158631,Adidas Men's Superlite 3 Hat,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5158660,Adidas Men's Superlite 3 Hat,Adidas,White/Black,Hats,28.00,10.50,OSFA,Agron
5160078,Adidas Men's Superlite 4 Team Hat,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5160086,Adidas Men's Superlite 4 Team Hat,Adidas,Grey Six/White,Hats,28.00,10.50,OSFA,Agron
5160107,Adidas Men's Superlite 4 Team Hat,Adidas,Dark Blue/White,Hats,28.00,10.50,OSFA,Agron
5160129,Adidas Men's Superlite 4 Team Hat,Adidas,White/Black,Hats,28.00,10.50,OSFA,Agron
5161257,Adidas Men's Superlite 3 Team Visor,Adidas,Black/White,Hats,24.00,9.00,OSFA,Agron
5161258,Adidas Men's Superlite 3 Team Visor,Adidas,White/Black,Hats,24.00,9.00,OSFA,Agron
5161259,Adidas Men's Superlite 3 Team Visor,Adidas,Grey Six/White,Hats,24.00,9.00,OSFA,Agron
5161260,Adidas Men's Superlite 3 Team Visor,Adidas,Dark Blue/White,Hats,24.00,9.00,OSFA,Agron
5158625,Adidas Women's Superlite 3 Hat,Adidas,Black/White,Hats,28.00,10.50,OSFA,Agron
5158692,Adidas Women's Superlite 3 Hat,Adidas,White/Silver Metallic,Hats,28.00,10.50,OSFA,Agron
101639,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,White/Black,Socks,26.00,9.75,L,Agron
5125031,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,Black/Aluminum 2,Socks,26.00,9.75,L,Agron
101639C,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,White/Black,Socks,26.00,9.75,M,Agron
5125031C,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5140229B,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,White/Black,Socks,26.00,9.75,XL,Agron
5140230B,Adidas Men's Athletic Cushioned 6-Pack Crew,Adidas,Black/Aluminum 2,Socks,26.00,9.75,XL,Agron
101641,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,White/Black,Socks,26.00,9.75,L,Agron
5125705,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,Black/Aluminum 2,Socks,26.00,9.75,L,Agron
101641C,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,White/Black,Socks,26.00,9.75,M,Agron
5125705C,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5140287B,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,White/Black,Socks,26.00,9.75,XL,Agron
5140288B,Adidas Men's Athletic Cushioned 6-Pack Low Cut,Adidas,Black/Aluminum 2,Socks,26.00,9.75,XL,Agron
101642,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,White/Black,Socks,26.00,9.75,L,Agron
5124488,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,Black/Aluminum 2,Socks,26.00,9.75,L,Agron
101642C,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,White/Black,Socks,26.00,9.75,M,Agron
5124488C,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5140289B,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,White/Black,Socks,26.00,9.75,XL,Agron
5140290B,Adidas Men's Athletic Cushioned 6-Pack No Show,Adidas,Black/Aluminum 2,Socks,26.00,9.75,XL,Agron
101640,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,White/Black,Socks,26.00,9.75,L,Agron
5125358,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,Black/Aluminum 2,Socks,26.00,9.75,L,Agron
101640C,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,White/Black,Socks,26.00,9.75,M,Agron
5125358C,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5140273B,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,Black/Aluminum 2,Socks,26.00,9.75,XL,Agron
5140291B,Adidas Men's Athletic Cushioned 6-Pack Quarter,Adidas,White/Black,Socks,26.00,9.75,XL,Agron
5161399B,Adidas Men's Superlite 3.0 6-Pack Crew,Adidas,White/Black,Socks,22.00,8.25,M,Agron
5161399C,Adidas Men's Superlite 3.0 6-Pack Crew,Adidas,White/Black,Socks,22.00,8.25,L,Agron
5161400B,Adidas Men's Superlite 3.0 6-Pack Crew,Adidas,Black/Night Grey,Socks,22.00,8.25,M,Agron
5161400C,Adidas Men's Superlite 3.0 6-Pack Crew,Adidas,Black/Night Grey,Socks,22.00,8.25,L,Agron
5157882A,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,White/Black,Socks,22.00,8.25,L,Agron
5157882B,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,White/Black,Socks,22.00,8.25,XL,Agron
5157882C,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,White/Black,Socks,22.00,8.25,M,Agron
5157896A,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,Black/Night Grey,Socks,22.00,8.25,L,Agron
5157896B,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,Black/Night Grey,Socks,22.00,8.25,XL,Agron
5157896C,Adidas Men's Superlite 3.0 6-Pack Low Cut,Adidas,Black/Night Grey,Socks,22.00,8.25,M,Agron
5157870A,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,White/Black,Socks,22.00,8.25,L,Agron
5157870B,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,White/Black,Socks,22.00,8.25,XL,Agron
5157870C,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,White/Black,Socks,22.00,8.25,M,Agron
5157894A,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,Black/Night Grey,Socks,22.00,8.25,L,Agron
5157894B,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,Black/Night Grey,Socks,22.00,8.25,XL,Agron
5157894C,Adidas Men's Superlite 3.0 6-Pack No Show,Adidas,Black/Night Grey,Socks,22.00,8.25,M,Agron
5157834A,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,White/Black,Socks,22.00,8.25,L,Agron
5157834B,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,White/Black,Socks,22.00,8.25,XL,Agron
5157834C,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,White/Black,Socks,22.00,8.25,M,Agron
5157850A,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,Black/Night Grey,Socks,22.00,8.25,L,Agron
5157850B,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,Black/Night Grey,Socks,22.00,8.25,XL,Agron
5157850C,Adidas Men's Superlite 3.0 6-Pack Quarter,Adidas,Black/Night Grey,Socks,22.00,8.25,M,Agron
5157846A,Adidas Men's Superlite 3.0 6-Pack Super No Show,Adidas,White/Black,Socks,22.00,8.25,L,Agron
5157846C,Adidas Men's Superlite 3.0 6-Pack Super No Show,Adidas,White/Black,Socks,22.00,8.25,M,Agron
5157864A,Adidas Men's Superlite 3.0 6-Pack Super No Show,Adidas,Black/Night Grey,Socks,22.00,8.25,L,Agron
5157864C,Adidas Men's Superlite 3.0 6-Pack Super No Show,Adidas,Black/Night Grey,Socks,22.00,8.25,M,Agron
5155900A,Adidas Men's Cushioned 3.0 3-Pack Crew,Adidas,Black/Onix Grey/White,Socks,16.00,6.00,L,Agron
5155900B,Adidas Men's Cushioned 3.0 3-Pack Crew,Adidas,Black/Onix Grey/White,Socks,16.00,6.00,XL,Agron
5155901A,Adidas Men's Cushioned 3.0 3-Pack Crew,Adidas,White/Grey/Onix Grey,Socks,16.00,6.00,L,Agron
5155901B,Adidas Men's Cushioned 3.0 3-Pack Crew,Adidas,White/Grey/Onix Grey,Socks,16.00,6.00,XL,Agron
5125703,Adidas Women's Athletic Cushioned 6-Pack Crew,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5150380A,Adidas Women's Athletic Cushioned 6-Pack Low Cut,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5124824,Adidas Women's Athletic Cushioned 6-Pack No Show,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5150438A,Adidas Women's Athletic Cushioned 6-Pack Quarter,Adidas,Black/Aluminum 2,Socks,26.00,9.75,M,Agron
5161781A,Adidas Women's Superlite 3.0 6-Pack Crew,Adidas,White/Black/Grey,Socks,22.00,8.25,M,Agron
5157902A,Adidas Women's Superlite 3.0 6-Pack No Show,Adidas,White/Black/Grey,Socks,22.00,8.25,M,Agron
5157902B,Adidas Women's Superlite 3.0 6-Pack No Show,Adidas,White/Black/Grey,Socks,22.00,8.25,L,Agron
5157878A,Adidas Women's Superlite 3.0 6-Pack Quarter,Adidas,White/Black/Grey,Socks,22.00,8.25,M,Agron
5157842A,Adidas Women's Superlite 3.0 6-Pack Super No Show,Adidas,White/Black/Grey,Socks,22.00,8.25,M,Agron
5155919A,Adidas Women's Cushioned 3.0 3-Pack Crew,Adidas,Black/Night Grey/White,Socks,16.00,6.00,M,Agron
5155919B,Adidas Women's Cushioned 3.0 3-Pack Crew,Adidas,Black/Night Grey/White,Socks,16.00,6.00,L,Agron
5155927A,Adidas Women's Cushioned 3.0 3-Pack Crew,Adidas,White/Clear Onix Grey,Socks,16.00,6.00,M,Agron
5155927B,Adidas Women's Cushioned 3.0 3-Pack Crew,Adidas,White/Clear Onix Grey,Socks,16.00,6.00,L,Agron
5157319B,Adidas Team 6-Pack 2.0 OTC,Adidas,White/Black,Socks,50.00,18.75,M,Agron
5157319C,Adidas Team 6-Pack 2.0 OTC,Adidas,White/Black,Socks,50.00,18.75,L,Agron
5157319D,Adidas Team 6-Pack 2.0 OTC,Adidas,White/Black,Socks,50.00,18.75,XL,Agron
5157320B,Adidas Team 6-Pack 2.0 OTC,Adidas,Black/White,Socks,50.00,18.75,M,Agron
5157320C,Adidas Team 6-Pack 2.0 OTC,Adidas,Black/White,Socks,50.00,18.75,L,Agron
