Product,Name,Color,Size,Article #,UPC #,FW26 MSRP,Availability,Adidas Article #,,FW25 MSRP
Bags,Adidas Three-Stripe Spinner Carry-On Wheel Bag,Black,OSFA,5159759,8.88E+11,$365.00,Carry Over,JK2738,,$350.00
Bags,Adidas Adidas Team Wheel Bag,Black,OSFA,5159465,8.88E+11,$240.00,Carry Over,JJ7799,,$225.00
Bags,Adidas Duel 21-Inch Wheel Bag,Black,OSFA,5160021,8.88E+11,$195.00,Carry Over,JK4966,,$180.00
Bags,Adidas Team XL II Wheel Bag,Black,OSFA,5159456,8.88E+11,$150.00,Carry Over,JJ7432,,$130.00
Bags,Adidas Locker Room Baseball Duffel,Onix Grey/Black,OSFA,5159403,8.88E+11,$130.00,Carry Over,JJ7506,,$120.00
Bags,Adidas Locker Room Baseball Duffel,Black,OSFA,5159420,8.88E+11,$130.00,Carry Over,JJ7429,,$120.00
Bags,Adidas Team Carry XL Duffel,Black,OSFA,5159523,8.88E+11,$130.00,Carry Over,JJ7825,,$125.00
Bags,Adidas Utility XL Team Backpack,Team Onix Grey,OSFA,5159520,8.88E+11,$105.00,Carry Over,JJ7828,,$100.00
Bags,Adidas Select Backpack,Black,OSFA,5160158,8.88E+11,$95.00,Carry Over,JK5220,,$90.00
Bags,Adidas Select Backpack,Team Power Red 2/Black,OSFA,5161390,8.88E+11,$95.00,12/1/25,JL3998,,$90.00
Bags,Adidas Select Backpack,White/Black/Gold Metallic,OSFA,5161889,8.88E+11,$95.00,12/1/25,KK8007,,$90.00
Bags,Adidas 5-Star Team 2 Backpack,Jersey Onix Grey,OSFA,5157751,8.88E+11,$80.00,Carry Over,IR0730,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Royal Blue,OSFA,5157755,8.88E+11,$80.00,Carry Over,IR0731,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Navy Blue 2,OSFA,5157762,8.88E+11,$80.00,Carry Over,IR0732,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Dark Green,OSFA,5157781,8.88E+11,$80.00,Carry Over,IR0733,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Black,OSFA,5157787,8.88E+11,$80.00,Carry Over,IR0734,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,White,OSFA,5157793,8.88E+11,$80.00,Carry Over,IR0735,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Collegiate Burgundy,OSFA,5157796,8.88E+11,$80.00,Carry Over,IR0736,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Collegiate Purple,OSFA,5157801,8.88E+11,$80.00,Carry Over,IR0737,,$75.00
Bags,Adidas 5-Star Team 2 Backpack,Team Power Red 2,OSFA,5157814,8.88E+11,$80.00,Carry Over,IR0738,,$75.00
Bags,Adidas Stadium Messenger,Black,OSFA,5159513,8.88E+11,$75.00,Carry Over,JJ7431,,$70.00
Bags,Adidas Stadium 4 Backpack,Team Dark Green,OSFA,5159368,8.88E+11,$65.00,Carry Over,JJ7585,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Shock Pink 2,OSFA,5159379,8.88E+11,$65.00,Carry Over,JJ7715,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Light Blue,OSFA,5159389,8.88E+11,$65.00,Carry Over,JJ7587,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Navy Blue 2,OSFA,5159406,8.88E+11,$65.00,Carry Over,JJ7774,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Power Red 2/White,OSFA,5159407,8.88E+11,$65.00,Carry Over,JJ7725,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Royal Blue,OSFA,5159440,8.88E+11,$65.00,Carry Over,JJ7593,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Dark Grey,OSFA,5159481,8.88E+11,$65.00,Carry Over,JJ7618,,$60.00
Bags,Adidas Stadium 4 Backpack,Team Light Grey,OSFA,5159492,8.88E+11,$65.00,Carry Over,JJ7613,,$60.00
