netsuite_internal_id,netsuite_id,name,sales_rep_name,missing_email,missing_address,internal_nsa_email,email_raw,phone,address_raw,city,state,zip,parent_name,reasons
4441,1381,310 Volleyball Club,Chase Koissian,,yes,,310sportsacademy@gmail.com,,"Rachel Pittock
310 Volleyball Club
CA 
United States",,CA,,,missing structured address
5297,5434,805 Stunt,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"805 Stunt
5312 Honda Ave
Atascadero CA 93422 
United States",Atascadero,CA,93422,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4331,1285,A&M Team Sales Inc,Steve Peterson,,yes,,alberto@amteamsales.com,(619) 425-1200,,,,,,missing structured address
4847,5059,Affirmative Athletics,Jered Hunt,,yes,,howard@sportsandsocialchange.org,,"Howard Brodwin
Affirmative Athletics
United States",,,,,missing structured address
4412,1356,Albany HS Football,Jered Hunt,yes,,,,,"Scott Shevelson
Albany HS Football
603 Key Route Blvd
Albany CA 94706
United States",Albany,CA,94706,,no customer email
3698,341,Alex Flenory,Kevin McCormack,yes,,yes,kevin@nationalsportsapparel.com,,"ALEX FLENORY
3135 N ATWOOD ST
Visalia CA 93291
United States",Visalia,CA,93291,,no customer email; had NSA-internal email (kevin@nationalsportsapparel.com)
4772,1665,Alex Martis,Mike Mercuriali,,yes,,apmnurse89@gmail.com,,"Alex Martis
United States",,,,,missing structured address
4248,1220,Alisal HS Football,Jered Hunt,yes,,,,,"Alisal HS Football
777 Williams Rd
Salinas CA 93905
United States",Salinas,CA,93905,,no customer email
3743,375,Alta Loma HS Basketball,Jered Hunt,yes,,,,,"Brian Brown
Alta Loma HS Basketball
8880 Baseline Rd
Rancho Cucamonga CA 91701
United States",Rancho Cucamonga,CA,91701,,no customer email
4702,1602,Amador Valley Boosters,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Amador Valley Boosters
1155 Santa Rita Rd
Pleasanton CA 94566
United States",Pleasanton,CA,94566,Amador Valley High School,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4640,1546,Amador Valley Cross Country,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Amador Valley Cross Country
1155 Santa Rita Rd
Pleasanton CA 94566
United States",Pleasanton,CA,94566,Amador Valley High School,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4815,5030,Amelia Victoria,Mike Mercuriali,,yes,,olympicosocceracademy@gmail.com,,,,,,,missing structured address
5203,5353,Amigos Toxicos,Jered Hunt,yes,yes,,,,"Amigos Toxicos
Amigos Toxicos
United States",,,,,no customer email; missing structured address
4624,1533,Anderias Hanna,Mike Mercuriali,,yes,,anderias86@gmail.com,,,,,,,missing structured address
4563,1482,Aneesa Carroll,Mike Mercuriali,,yes,,acarroll@guhsd.net,,,,,,,missing structured address
3691,335,Antelope Jr Titans Cheer,Jered Hunt,yes,yes,,,,,,,,,no customer email; missing structured address
3681,327,Antelope Junior Titans,Jered Hunt,,yes,,president@antelopejrtitans.com,,,,,,,missing structured address
4126,1120,APFC Online,Mike Mercuriali,,yes,,bernat@apfcourses.com,,"APFC Online
United States",,,,,missing structured address
4186,1172,Arcata HS Football,Jered Hunt,yes,,,,,"Arcata HS Football
1720 M St
Arcata  CA 95521
United States",Arcata,CA,95521,,no customer email
4722,1621,Arlington HS Boys Basketball,Jered Hunt,yes,,,,,"Donald French
Arlington HS Boys Basketball
2951 Jackson St
Riverside  CA 92503
United States",Riverside,CA,92503,,no customer email
4622,1531,Arroyo Grande Cross Country,Kelly Bean,yes,,yes,kelly@nationalsportsapparel.com,,"Arroyo Grande Cross Country
495 Valley Rd
Arroyo Grande CA 93420
United States",Arroyo Grande,CA,93420,,no customer email; had NSA-internal email (kelly@nationalsportsapparel.com)
4865,5071,Arroyo High School Track and Field,Mike Mercuriali,,yes,,aomalza2001@gmail.com,,,,,,Arroyo High School,missing structured address
4867,5073,Atascadero High School - ASB,Kelly Bean,,yes,,kerrysherer@atasusd.org,(805) 712-3261,"Atascadero High School - ASB
Atascadero CA 93422
United States",Atascadero,CA,93422,,missing structured address
